pair,phase,measure,d,ci_low,ci_high
Cat / /æ/,exercise,f0_sd,-0.10537869776570293,-0.6607621666079248,0.4679916264424334
Cat / /æ/,exercise,jitter_local,-0.29017721762417803,-0.7848770423214518,0.3173467019877795
Cat / /æ/,exercise,shimmer_local,-0.06370659602461279,-0.5906861131050274,0.6021262449040634
Cat / /æ/,exercise,shimmer_dB,-0.21341161101256803,-0.7658079248551484,0.4094457626928801
Cat / /æ/,exercise,hnr_mean,-0.22264325989761216,-0.8402770390080034,0.35664718196621736
Cat / /æ/,exercise,intensity_mean_calibrated,-0.47614196433557965,-1.1728685479883139,0.09327308476593066
Cat / /æ/,exercise,cog,1.5758071240751597,0.9414017317780692,2.596300223484808
Cat / /æ/,exercise,spectral_sd,2.103181000199027,1.5244891636555313,3.004567609975902
Cat / /æ/,exercise,skewness,-2.004111219909564,-3.2259261533066947,-1.370379703750544
Cat / /æ/,exercise,kurtosis,-2.162426218737443,-3.6550913099898636,-1.5326238591031773
Cat / /æ/,exercise,cpps,0.30761308558757794,-0.2651778903688221,0.8737573710741978
Cat / /æ/,exercise,h1_h2,0.4183687785200239,-0.15744378792210678,1.0181430160943068
Cat / /æ/,exercise,f1,0.5830341914775112,-0.0036955187853274793,1.2941512207043522
Cat / /æ/,exercise,f2,1.0550578114909803,0.48308844916800936,1.8335403565526365
Cat / /æ/,exercise,alpha_ratio,-0.5594362819692478,-1.4049488722543102,0.003836835995474232
Cat / /æ/,exercise,lh_ratio,-1.5033746664732799,-2.3050270497059437,-0.9188376145976088
Cat / /æ/,exercise,ltas_slope,0.7501226338400371,0.17589744907420213,1.540638703898767
Cat / /æ/,exercise,ltas_tilt,1.2893174164820969,0.6709244487489382,2.1753129815723256
Cow / /ɑ/,mimic,f0_mean,-2.365247977783867,-3.38484676591975,-1.7228506559008085
Cow / /ɑ/,mimic,f0_sd,-2.545534102514556,-3.7078442431699568,-1.9105369105796879
Cow / /ɑ/,mimic,jitter_local,-1.4729932818126705,-2.116457483123114,-0.9772491790257747
Cow / /ɑ/,mimic,shimmer_local,-1.325957770204722,-1.895694031089959,-0.9446370647296848
Cow / /ɑ/,mimic,shimmer_dB,-1.9137505315958654,-2.6925007322787313,-1.3796256892258985
Cow / /ɑ/,mimic,hnr_mean,3.9075620661119723,3.1712558638357953,5.436156111196259
Cow / /ɑ/,mimic,intensity_mean_calibrated,0.8659541922401803,0.2550002300734162,1.6488532826602496
Cow / /ɑ/,mimic,cog,-1.1037988763143265,-1.9856830480256202,-0.5008457530558413
Cow / /ɑ/,mimic,spectral_sd,0.8673121883775281,0.3914181239834173,1.3661078338230825
Cow / /ɑ/,mimic,skewness,-0.1578683213700566,-0.8046944154800845,0.4006214079482353
Cow / /ɑ/,mimic,kurtosis,-0.6927260889830933,-1.3720794785071342,-0.14180934078062785
Cow / /ɑ/,mimic,cpps,1.0644999914488833,0.5205451654723633,1.79410638528196
Cow / /ɑ/,mimic,h1_h2,-0.06951551564094273,-0.713753988398263,0.5118768938267424
Cow / /ɑ/,mimic,f1,-1.5277074815233684,-2.2690914883624154,-1.002657909023067
Cow / /ɑ/,mimic,f2,-0.5023851323091256,-1.0910846367837985,0.07562833310570503
Cow / /ɑ/,mimic,alpha_ratio,0.03095001049111852,-0.49631299485894437,0.7127101271147475
Cow / /ɑ/,mimic,lh_ratio,-0.05481275287883648,-0.7325767063350945,0.4931288140015671
Cow / /ɑ/,mimic,ltas_slope,-0.4286989989745567,-1.1976942162810233,0.13868989212785782
Cow / /ɑ/,mimic,ltas_tilt,-0.03938912968525738,-0.6311953957472697,0.5193979274259789
Cow / /ɑ/,exercise,f0_mean,-0.3891323534116316,-0.9200469445349307,0.13986125315916612
Cow / /ɑ/,exercise,f0_sd,-0.23606181687902708,-0.9687321831012616,0.2987074487532504
Cow / /ɑ/,exercise,jitter_local,-0.6410090899134226,-1.1142606595745017,-0.16767848373381256
Cow / /ɑ/,exercise,shimmer_local,-0.6419559153756481,-0.988764382482574,-0.2755744458066372
