participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P3,2,Ex 2 (Cat / /ae/),A,animal,somewhere_some,2,1,258.82,0.001906,0.2643,24.29,366.66,97.11,26.8489,2.3937
P3,2,Ex 2 (Cat / /ae/),A,animal,somewhere_where,2,1,521.02,0.003566,0.2346,25.82,325.63,107.64,22.1616,-2.8754
P3,2,Ex 2 (Cat / /ae/),A,animal,baseline_some,-1,1,256.19,0.002856,0.3377,22.13,432.36,96.66,25.6035,3.3575
P3,2,Ex 2 (Cat / /ae/),A,animal,baseline_where,-1,1,512.17,0.00361,0.2033,25.81,365.4,107.78,21.3009,-0.2046
P3,2,Ex 2 (Cat / /ae/),B,human,mimic,0,5,320.748,0.004791,0.20254000000000003,15.902000000000001,430.052,93.39200000000001,23.17772,-1.8559999999999999
P3,2,Ex 2 (Cat / /ae/),B,human,exercise,1,5,414.872,0.0017854000000000001,0.18344,25.839999999999996,326.758,99.55799999999999,24.32342,-4.598940000000001
P3,2,Ex 2 (Cat / /ae/),B,human,somewhere_some,2,1,255.91,0.002814,0.2594,24.99,374.59,99.86,27.5194,0.2553
P3,2,Ex 2 (Cat / /ae/),B,human,somewhere_where,2,1,510.49,0.00159,0.1422,27.71,285.11,111.04,23.1987,-4.8083
P3,2,Ex 2 (Cat / /ae/),B,human,baseline_some,-1,1,258.09,0.001726,0.2869,25.16,402.79,97.07,27.2488,2.8392
P3,2,Ex 2 (Cat / /ae/),B,human,baseline_where,-1,1,520.65,0.003331,0.2532,24.73,359.2,108.22,22.9751,-3.8345
P3,3,Ex 3 (Cow / /a/),A,animal,mimic,0,5,260.246,0.0053864,0.12742,20.276,555.822,88.732,24.596479999999996,1.8095199999999998
P3,3,Ex 3 (Cow / /a/),A,animal,exercise,1,4,494.27,0.01621625,1.014225,12.297500000000001,326.3625,84.68,21.752425,6.200499999999999
P3,3,Ex 3 (Cow / /a/),A,animal,somewhere_some,2,1,259.11,0.001722,0.3172,25.09,364.87,97.58,26.7347,2.8532
P3,3,Ex 3 (Cow / /a/),A,animal,somewhere_where,2,1,512.38,0.002266,0.1729,26.54,351.76,109.41,23.0015,-4.5192
P3,3,Ex 3 (Cow / /a/),A,animal,baseline_some,-1,1,256.19,0.002856,0.3377,22.13,432.36,96.66,25.6035,3.3575
P3,3,Ex 3 (Cow / /a/),A,animal,baseline_where,-1,1,512.17,0.00361,0.2033,25.81,365.4,107.78,21.3009,-0.2046
P3,3,Ex 3 (Cow / /a/),B,human,mimic,0,5,507.072,0.0200628,0.9422200000000001,9.69,227.458,84.14200000000001,18.453359999999996,9.01056
P3,3,Ex 3 (Cow / /a/),B,human,exercise,1,5,573.134,0.020606999999999997,1.25504,10.212,365.216,85.176,20.926840000000002,7.18188
P3,3,Ex 3 (Cow / /a/),B,human,somewhere_some,2,1,262.31,0.001321,0.2652,26.78,383.26,98.69,29.129,1.3944
P3,3,Ex 3 (Cow / /a/),B,human,somewhere_where,2,1,524.27,0.003401,0.2316,24.54,388.19,107.76,22.1848,-2.564
P3,3,Ex 3 (Cow / /a/),B,human,baseline_some,-1,1,258.09,0.001726,0.2869,25.16,402.79,97.07,27.2488,2.8392
P3,3,Ex 3 (Cow / /a/),B,human,baseline_where,-1,1,520.65,0.003331,0.2532,24.73,359.2,108.22,22.9751,-3.8345
P4,1,Ex 1 (Owl / /u/),A,animal,mimic,0,5,549.4799999999999,0.0012644,0.08463999999999999,31.613999999999997,217.1,114.78800000000001,20.416,11.59966
P4,1,Ex 1 (Owl / /u/),A,animal,exercise,1,5,598.1319999999998,0.0010126,0.07239999999999999,33.278,249.76799999999997,107.42,23.462600000000002,9.53434
P4,1,Ex 1 (Owl / /u/),A,animal,somewhere_some,2,1,261.59,0.002722,0.1424,26.64,345.33,90.8,28.1056,5.9658
P4,1,Ex 1 (Owl / /u/),A,animal,somewhere_where,2,1,506.66,0.001526,0.1157,30.81,305.48,100.42,22.9432,6.4894
P4,1,Ex 1 (Owl / /u/),A,animal,baseline_some,-1,1,257.19,0.002526,0.3348,23.38,341.94,97.29,26.0578,4.0223
P4,1,Ex 1 (Owl / /u/),A,animal,baseline_where,-1,1,519.5,0.005004,0.1987,24.6,411.07,102.46,22.2479,5.925
