participant,session,condition,pitch_target,segment_type,preceding_exercise,temporal_position,cumulative_blocks,f0_mean_baseline,f0_mean_post,f0_mean_change,f0_sd_baseline,f0_sd_post,f0_sd_change,jitter_local_baseline,jitter_local_post,jitter_local_change,shimmer_local_baseline,shimmer_local_post,shimmer_local_change,shimmer_dB_baseline,shimmer_dB_post,shimmer_dB_change,hnr_mean_baseline,hnr_mean_post,hnr_mean_change,intensity_mean_calibrated_baseline,intensity_mean_calibrated_post,intensity_mean_calibrated_change,cog_baseline,cog_post,cog_change,spectral_sd_baseline,spectral_sd_post,spectral_sd_change,skewness_baseline,skewness_post,skewness_change,kurtosis_baseline,kurtosis_post,kurtosis_change
P1,B,human,where,somewhere_post_ex1,owl/u,1,1,525.09,521.14,-3.9500000000000455,6.51,7.34,0.8300000000000001,0.003381,0.003206,-0.0001749999999999998,0.02238,0.028311,0.005930999999999999,0.2441,0.2533,0.009200000000000014,24.83,25.42,0.5900000000000034,107.29,106.81,-0.480000000000004,998.34,987.7,-10.639999999999986,316.94,372.89,55.94999999999999,13.0209,12.354,-0.6669,552.265,440.654,-111.61099999999999
P1,B,human,where,somewhere_post_ex2,cat/ae,2,2,525.09,509.71,-15.380000000000052,6.51,10.52,4.01,0.003381,0.003271,-0.00010999999999999985,0.02238,0.021541,-0.0008389999999999995,0.2441,0.2007,-0.04340000000000002,24.83,26.05,1.2200000000000024,107.29,105.18,-2.1099999999999994,998.34,963.53,-34.81000000000006,316.94,318.23,1.2900000000000205,13.0209,14.2693,1.2484000000000002,552.265,652.3612,100.09620000000007
P1,B,human,where,somewhere_post_ex3,cow/a,3,3,525.09,521.12,-3.9700000000000273,6.51,4.96,-1.5499999999999998,0.003381,0.002875,-0.0005059999999999999,0.02238,0.027634,0.005253999999999998,0.2441,0.2495,0.005399999999999988,24.83,25.37,0.5400000000000027,107.29,109.65,2.3599999999999994,998.34,1023.36,25.019999999999982,316.94,357.52,40.579999999999984,13.0209,10.857,-2.1639,552.265,365.4068,-186.8582
P2,A,animal,where,somewhere_post_ex1,owl/u,1,1,517.9,532.16,14.259999999999991,5.13,7.16,2.0300000000000002,0.006214,0.003748,-0.002466,0.056405,0.036505,-0.019899999999999994,0.5437,0.3168,-0.22689999999999994,19.29,21.97,2.6799999999999997,92.88,102.21,9.329999999999998,946.89,908.37,-38.51999999999998,549.34,455.82,-93.52000000000004,7.7639,6.7358,-1.0280999999999993,169.4297,156.9782,-12.45150000000001
P2,A,animal,where,somewhere_post_ex3,cow/a,2,2,517.9,521.26,3.3600000000000136,5.13,7.62,2.49,0.006214,0.0049,-0.001314,0.056405,0.036617,-0.019788,0.5437,0.3231,-0.22059999999999996,19.29,22.32,3.030000000000001,92.88,96.86,3.980000000000004,946.89,795.87,-151.01999999999998,549.34,495.8,-53.54000000000002,7.7639,7.9475,0.1836000000000002,169.4297,175.8873,6.4576000000000136
P2,A,animal,where,somewhere_post_ex2,cat/ae,3,3,517.9,527.3,9.399999999999977,5.13,8.74,3.6100000000000003,0.006214,0.008147,0.0019329999999999998,0.056405,0.050451,-0.005953999999999994,0.5437,0.4405,-0.10319999999999996,19.29,18.44,-0.8499999999999979,92.88,99.32,6.439999999999998,946.89,905.62,-41.26999999999998,549.34,606.91,57.569999999999936,7.7639,5.7036,-2.0603,169.4297,92.042,-77.3877
P2,B,human,where,somewhere_post_ex3,cow/a,1,1,517.77,529.64,11.870000000000005,5.6,7.71,2.1100000000000003,0.003755,0.008876,0.0051210000000000006,0.023755,0.03672,0.012965000000000004,0.2054,0.321,0.11560000000000001,23.14,22.04,-1.1000000000000014,100.56,99.1,-1.460000000000008,887.37,887.12,-0.25,413.16,428.58,15.419999999999959,8.9313,8.8052,-0.126100000000001,258.967,240.935,-18.031999999999982
P2,B,human,where,somewhere_post_ex2,cat/ae,2,2,517.77,531.45,13.680000000000064,5.6,3.42,-2.1799999999999997,0.003755,0.007285,0.0035299999999999997,0.023755,0.035831,0.012076000000000003,0.2054,0.3215,0.11610000000000001,23.14,22.59,-0.5500000000000007,100.56,103.93,3.3700000000000045,887.37,899.06,11.68999999999994,413.16,473.61,60.44999999999999,8.9313,8.4903,-0.4410000000000007,258.967,194.0204,-64.94659999999999
P2,B,human,where,somewhere_post_ex1,owl/u,3,3,517.77,536.16,18.389999999999986,5.6,4.56,-1.04,0.003755,0.006637,0.0028819999999999996,0.023755,0.028022,0.004267,0.2054,0.2591,0.0537,23.14,23.79,0.6499999999999986,100.56,98.64,-1.9200000000000017,887.37,935.53,48.15999999999997,413.16,502.0,88.83999999999997,8.9313,5.5391,-3.3922,258.967,124.1246,-134.8424
P3,A,animal,where,somewhere_post_ex2,cat/ae,1,1,512.17,521.02,8.850000000000023,6.73,4.64,-2.0900000000000007,0.00361,0.003566,-4.399999999999977e-05,0.023155,0.026799,0.0036440000000000014,0.2033,0.2346,0.031299999999999994,25.81,25.82,0.010000000000001563,107.78,107.64,-0.14000000000000057,925.61,971.93,46.319999999999936,365.4,325.63,-39.76999999999998,8.0846,9.4204,1.3358000000000008,292.17,395.2383,103.06829999999997
